	localization	go
C000372	endoplasmic_reticulum	go4
C000373	endoplasmic_reticulum	go2
C000376	lysosome	go1
C000379	endoplasmic_reticulum	go3
C000380	mitochondria	go1
C000381	endoplasmic_reticulum	go1
C000383	lysosome	go4
C000384	lysosome	go1
C000385	mitochondria	go3
C000388	endoplasmic_reticulum	go4
C000389	endoplasmic_reticulum	go1
C000391	endoplasmic_reticulum	go3
C000392	lysosome	go4
C000394	mitochondria	go4
C000396	endoplasmic_reticulum	go3
C000397	mitochondria	go3
C000399	lysosome	go2
C000400	nucleus	go4
C000401	endoplasmic_reticulum	go3
C000402	nucleus	go3
C000403	lysosome	go2
C000405	mitochondria	go2
C000406	nucleus	go4
C000408	nucleus	go2
C000409	endoplasmic_reticulum	go1
C000410	mitochondria	go1
C000412	endoplasmic_reticulum	go1
C000413	nucleus	go1
C000414	endoplasmic_reticulum	go3
C000415	endoplasmic_reticulum	go2
C000417	endoplasmic_reticulum	go3
C000418	endoplasmic_reticulum	go3
C000419	nucleus	go1
C000420	lysosome	go1
C000422	mitochondria	go2
C000424	endoplasmic_reticulum	go1
C000425	mitochondria	go3
C000427	mitochondria	go4
C000428	mitochondria	go2
C000429	mitochondria	go1
C000431	nucleus	go4
C000432	nucleus	go3
C000433	lysosome	go1
C000434	nucleus	go1
C000438	lysosome	go2
C000439	mitochondria	go2
C000440	endoplasmic_reticulum	go4
C000441	lysosome	go2
C000442	nucleus	go1
C000443	mitochondria	go4
C000445	lysosome	go1
C000446	lysosome	go2
C000448	mitochondria	go2
C000449	lysosome	go4
C000450	nucleus	go3
C000451	nucleus	go3
C000452	endoplasmic_reticulum	go1
C000453	lysosome	go3
C000454	nucleus	go4
C000455	lysosome	go3
C000456	endoplasmic_reticulum	go2
C000458	nucleus	go3
C000459	endoplasmic_reticulum	go1
C000460	nucleus	go3
C000461	endoplasmic_reticulum	go4
C000462	lysosome	go1
C000463	endoplasmic_reticulum	go1
C000464	nucleus	go2
C000465	lysosome	go4
C000466	mitochondria	go1
C000467	endoplasmic_reticulum	go3
C000468	mitochondria	go3
C000469	mitochondria	go4
C000470	nucleus	go1
C000471	lysosome	go1
C000472	endoplasmic_reticulum	go1
C000473	lysosome	go1
C000474	nucleus	go2
C000475	endoplasmic_reticulum	go2
C000477	nucleus	go4
C000478	mitochondria	go3
C000479	nucleus	go2
C000481	mitochondria	go3
C000482	nucleus	go2
C000483	nucleus	go1
C000484	lysosome	go4
C000486	endoplasmic_reticulum	go4
C000487	endoplasmic_reticulum	go4
C000488	lysosome	go3
C000490	endoplasmic_reticulum	go2
C000492	nucleus	go4
C000493	lysosome	go2
C000494	nucleus	go4
C000495	nucleus	go4
C000496	mitochondria	go2
C000497	mitochondria	go4
C000498	endoplasmic_reticulum	go3
C000499	nucleus	go4
C000501	nucleus	go1
C000503	endoplasmic_reticulum	go2
C000504	endoplasmic_reticulum	go2
C000505	lysosome	go4
C000506	endoplasmic_reticulum	go1
C000507	nucleus	go1
C000508	nucleus	go3
C000509	endoplasmic_reticulum	go2
C000510	lysosome	go2
C000511	endoplasmic_reticulum	go1
C000513	nucleus	go2
C000514	mitochondria	go2
C000517	nucleus	go2
C000519	nucleus	go3
C000520	lysosome	go3
C000522	lysosome	go4
C000523	endoplasmic_reticulum	go1
C000524	nucleus	go4
C000525	lysosome	go4
C000526	lysosome	go2
C000527	endoplasmic_reticulum	go1
C000528	lysosome	go4
C000530	lysosome	go4
C000531	nucleus	go2
C000532	lysosome	go4
C000533	mitochondria	go3
C000534	nucleus	go3
C000535	endoplasmic_reticulum	go4
C000536	lysosome	go4
C000538	nucleus	go3
C000539	lysosome	go2
C000541	endoplasmic_reticulum	go2
C000542	lysosome	go1
C000543	nucleus	go3
C000544	endoplasmic_reticulum	go3
C000545	mitochondria	go4
C000546	lysosome	go2
C000547	lysosome	go2
C000548	lysosome	go2
C000551	mitochondria	go2
C000552	lysosome	go1
C000553	mitochondria	go1
C000555	lysosome	go1
C000557	nucleus	go1
C000559	endoplasmic_reticulum	go4
C000560	mitochondria	go3
C000561	lysosome	go3
C000562	nucleus	go4
C000563	nucleus	go4
C000564	lysosome	go1
C000565	lysosome	go4
C000566	mitochondria	go4
C000567	nucleus	go3
C000568	lysosome	go3
C000569	nucleus	go4
C000570	lysosome	go2
C000572	lysosome	go4
C000574	lysosome	go3
C000577	nucleus	go3
C000578	nucleus	go4
C000579	lysosome	go3
C000581	lysosome	go4
C000582	endoplasmic_reticulum	go3
C000583	mitochondria	go3
C000584	lysosome	go4
C000585	mitochondria	go3
C000587	endoplasmic_reticulum	go2
C000590	mitochondria	go2
C000591	mitochondria	go1
C000592	lysosome	go1
C000593	mitochondria	go3
C000594	endoplasmic_reticulum	go1
C000595	nucleus	go1
C000596	endoplasmic_reticulum	go4
C000597	nucleus	go4
C000598	endoplasmic_reticulum	go2
C000599	endoplasmic_reticulum	go1
C000600	nucleus	go4
C000601	nucleus	go2
C000603	nucleus	go2
C000605	lysosome	go2
C000606	lysosome	go2
C000607	nucleus	go4
C000608	lysosome	go4
C000610	endoplasmic_reticulum	go4
C000614	endoplasmic_reticulum	go4
C000618	nucleus	go1
C000620	nucleus	go3
C000622	lysosome	go2
C000623	lysosome	go3
C000624	lysosome	go4
C000627	mitochondria	go3
C000629	endoplasmic_reticulum	go2
C000632	lysosome	go1
C000633	lysosome	go1
C000634	nucleus	go1
C000635	nucleus	go4
C000637	mitochondria	go4
C000639	nucleus	go1
C000640	mitochondria	go2
C000641	endoplasmic_reticulum	go1
C000643	nucleus	go4
C000644	mitochondria	go4
C000645	endoplasmic_reticulum	go4
C000648	lysosome	go4
C000649	nucleus	go2
C000650	endoplasmic_reticulum	go3
C000651	lysosome	go4
C000652	lysosome	go4
C000655	lysosome	go2
C000656	endoplasmic_reticulum	go2
C000657	mitochondria	go2
C000658	mitochondria	go2
C000659	endoplasmic_reticulum	go1
C000660	endoplasmic_reticulum	go1
C000661	lysosome	go3
C000664	lysosome	go2
C000665	endoplasmic_reticulum	go4
C000666	mitochondria	go3
C000669	lysosome	go1
C000671	mitochondria	go1
C000672	mitochondria	go3
C000673	nucleus	go4
C000675	nucleus	go4
C000676	mitochondria	go3
C000677	nucleus	go3
C000678	nucleus	go2
C000680	nucleus	go3
C000681	mitochondria	go3
C000682	mitochondria	go4
C000683	mitochondria	go2
C000686	endoplasmic_reticulum	go3
C000687	nucleus	go2
C000688	endoplasmic_reticulum	go2
C000689	lysosome	go3
C000690	lysosome	go1
C000691	mitochondria	go1
C000694	endoplasmic_reticulum	go2
C000695	nucleus	go1
C000696	mitochondria	go4
C000697	lysosome	go2
C000699	endoplasmic_reticulum	go4
C000700	endoplasmic_reticulum	go1
C000701	endoplasmic_reticulum	go2
C000702	mitochondria	go2
C000704	endoplasmic_reticulum	go4
C000705	nucleus	go3
C000706	lysosome	go1
C000707	endoplasmic_reticulum	go3
C000709	nucleus	go1
C000711	endoplasmic_reticulum	go1
C000713	endoplasmic_reticulum	go1
C000715	endoplasmic_reticulum	go1
C000716	mitochondria	go4
C000717	mitochondria	go3
C000718	nucleus	go1
C000719	mitochondria	go2
C000720	lysosome	go3
C000721	lysosome	go1
C000724	mitochondria	go3
C000725	mitochondria	go1
C000727	nucleus	go1
C000728	lysosome	go1
C000731	mitochondria	go4
C000732	lysosome	go1
C000733	nucleus	go4
C000734	mitochondria	go1
C000735	mitochondria	go4
C000736	nucleus	go3
C000738	nucleus	go3
C000739	mitochondria	go2
C000744	mitochondria	go4
C000746	lysosome	go3
C000747	nucleus	go1
C000750	nucleus	go1
C000751	lysosome	go4
C000752	lysosome	go4
C000753	nucleus	go2
C000754	endoplasmic_reticulum	go1
C000755	lysosome	go2
C000756	endoplasmic_reticulum	go3
C000757	lysosome	go4
C000758	nucleus	go2
C000759	lysosome	go4
C000760	mitochondria	go1
C000761	mitochondria	go3
C000763	lysosome	go1
C000766	lysosome	go2
C000767	endoplasmic_reticulum	go3
C000768	endoplasmic_reticulum	go3
C000769	mitochondria	go4
C000770	mitochondria	go3
C000772	mitochondria	go4
C000773	nucleus	go1
C000774	nucleus	go1
C000775	nucleus	go3
C000776	endoplasmic_reticulum	go3
C000777	nucleus	go1
C000778	mitochondria	go1
C000779	endoplasmic_reticulum	go2
C000780	lysosome	go1
C000782	endoplasmic_reticulum	go1
C000783	nucleus	go4
C000784	lysosome	go3
C000785	mitochondria	go1
C000786	nucleus	go4
C000787	mitochondria	go4
C000788	endoplasmic_reticulum	go4
C000789	lysosome	go3
C000791	nucleus	go2
C000792	nucleus	go4
C000793	mitochondria	go3
C000794	endoplasmic_reticulum	go1
C000796	lysosome	go1
C000797	lysosome	go2
C000799	nucleus	go3
C000801	lysosome	go3
C000802	endoplasmic_reticulum	go4
C000803	nucleus	go3
C000804	endoplasmic_reticulum	go4
C000806	mitochondria	go4
C000807	mitochondria	go2
C000808	endoplasmic_reticulum	go2
C000811	lysosome	go1
C000812	endoplasmic_reticulum	go3
C000813	endoplasmic_reticulum	go1
C000814	endoplasmic_reticulum	go4
C000815	mitochondria	go1
C000816	nucleus	go1
C000817	mitochondria	go4
C000818	mitochondria	go2
C000820	endoplasmic_reticulum	go1
C000821	nucleus	go3
C000822	nucleus	go3
C000823	nucleus	go4
C000824	nucleus	go2
C000825	lysosome	go1
C000827	nucleus	go2
C000828	nucleus	go4
C000829	endoplasmic_reticulum	go1
C000830	nucleus	go4
C000831	nucleus	go1
C000832	lysosome	go2
C000833	nucleus	go2
C000834	mitochondria	go3
C000835	mitochondria	go1
C000836	lysosome	go4
C000837	nucleus	go4
C000838	lysosome	go3
C000839	nucleus	go1
C000840	mitochondria	go2
C000841	nucleus	go1
C000843	lysosome	go3
C000844	lysosome	go3
C000846	nucleus	go4
C000847	mitochondria	go4
C000848	mitochondria	go3
C000849	lysosome	go3
C000850	lysosome	go3
C000851	lysosome	go1
C000852	lysosome	go4
C000853	lysosome	go1
C000854	mitochondria	go4
C000855	nucleus	go4
C000857	mitochondria	go1
C000858	nucleus	go2
C000860	mitochondria	go3
C000862	nucleus	go3
C000863	lysosome	go2
C000864	lysosome	go1
C000865	mitochondria	go3
C000867	mitochondria	go3
C000869	endoplasmic_reticulum	go2
C000870	lysosome	go3
C000871	endoplasmic_reticulum	go3
C000872	mitochondria	go4
C000873	mitochondria	go3
C000876	lysosome	go3
C000877	endoplasmic_reticulum	go4
C000878	lysosome	go4
C000879	nucleus	go4
C000880	nucleus	go1
C000881	mitochondria	go4
C000882	endoplasmic_reticulum	go3
C000883	endoplasmic_reticulum	go3
C000884	lysosome	go2
C000885	lysosome	go2
C000886	nucleus	go1
C000887	endoplasmic_reticulum	go2
C000889	endoplasmic_reticulum	go1
C000891	nucleus	go1
C000893	lysosome	go3
C000894	endoplasmic_reticulum	go1
C000895	endoplasmic_reticulum	go4
C000897	lysosome	go4
C000898	mitochondria	go2
C000899	nucleus	go3
C000900	mitochondria	go3
C000901	endoplasmic_reticulum	go4
C000902	lysosome	go2
C000903	endoplasmic_reticulum	go3
C000904	mitochondria	go2
C000905	endoplasmic_reticulum	go4
C000906	mitochondria	go4
C000907	lysosome	go2
C000909	nucleus	go4
C000910	mitochondria	go2
C000911	lysosome	go4
C000914	nucleus	go4
C000915	lysosome	go3
C000917	mitochondria	go3
C000920	lysosome	go3
C000921	endoplasmic_reticulum	go2
C000922	lysosome	go2
C000923	mitochondria	go3
C000924	endoplasmic_reticulum	go3
C000925	endoplasmic_reticulum	go4
C000926	mitochondria	go4
C000927	mitochondria	go1
C000929	nucleus	go2
C000930	endoplasmic_reticulum	go3
C000932	nucleus	go3
C000933	lysosome	go4
C000934	mitochondria	go3
C000936	nucleus	go2
C000938	nucleus	go2
C000939	endoplasmic_reticulum	go1
C000940	nucleus	go4
C000941	lysosome	go4
C000942	nucleus	go4
C000943	endoplasmic_reticulum	go4
C000945	mitochondria	go2
C000946	nucleus	go4
C000947	lysosome	go4
C000948	endoplasmic_reticulum	go1
C000949	mitochondria	go1
C000951	endoplasmic_reticulum	go3
C000952	lysosome	go1
C000954	endoplasmic_reticulum	go1
C000955	mitochondria	go2
C000956	nucleus	go3
C000957	mitochondria	go4
C000958	mitochondria	go4
C000960	nucleus	go3
C000961	nucleus	go4
C000962	mitochondria	go1
C000963	endoplasmic_reticulum	go1
C000966	lysosome	go3
C000967	mitochondria	go2
C000968	endoplasmic_reticulum	go4
C000970	nucleus	go3
C000971	lysosome	go4
C000972	mitochondria	go1
C000973	mitochondria	go2
C000974	nucleus	go3
C000975	endoplasmic_reticulum	go4
C000976	nucleus	go1
C000977	nucleus	go2
C000978	nucleus	go1
C000979	nucleus	go2
C000982	nucleus	go2
C000983	mitochondria	go3
C000984	lysosome	go3
C000985	lysosome	go3
C000986	endoplasmic_reticulum	go4
C000987	lysosome	go1
C000989	mitochondria	go3
C000990	nucleus	go4
C000991	mitochondria	go4
C000992	endoplasmic_reticulum	go3
C000993	mitochondria	go2
C000994	nucleus	go2
C000996	nucleus	go2
C000997	nucleus	go4
C000998	lysosome	go1
C000999	endoplasmic_reticulum	go2
C001001	mitochondria	go2
C001002	nucleus	go3
C001003	mitochondria	go4
C001004	mitochondria	go2
C001005	endoplasmic_reticulum	go2
C001006	mitochondria	go4
C001007	endoplasmic_reticulum	go2
C001008	nucleus	go4
C001011	mitochondria	go2
C001012	endoplasmic_reticulum	go1
C001013	lysosome	go3
C001014	lysosome	go1
C001016	nucleus	go2
C001017	lysosome	go2
C001018	lysosome	go1
C001019	mitochondria	go3
C001020	nucleus	go1
C001021	lysosome	go1
C001022	nucleus	go1
C001023	nucleus	go4
C001024	mitochondria	go4
C001025	lysosome	go3
C001026	endoplasmic_reticulum	go3
C001027	lysosome	go1
C001028	lysosome	go2
C001029	endoplasmic_reticulum	go2
C001031	lysosome	go2
C001032	endoplasmic_reticulum	go2
C001033	endoplasmic_reticulum	go2
C001035	nucleus	go1
C001036	mitochondria	go2
C001038	nucleus	go1
C001039	mitochondria	go3
C001041	endoplasmic_reticulum	go1
C001042	endoplasmic_reticulum	go3
C001043	mitochondria	go2
C001045	nucleus	go3
C001046	mitochondria	go1
C001047	lysosome	go4
C001048	mitochondria	go2
C001049	lysosome	go2
C001050	nucleus	go2
C001051	nucleus	go3
C001052	lysosome	go2
C001055	endoplasmic_reticulum	go3
C001056	nucleus	go1
C001058	endoplasmic_reticulum	go2
C001062	nucleus	go3
C001063	lysosome	go4
C001064	mitochondria	go1
C001065	lysosome	go4
C001066	mitochondria	go4
C001068	mitochondria	go1
C001069	mitochondria	go2
C001071	mitochondria	go1
C001072	endoplasmic_reticulum	go2
C001074	endoplasmic_reticulum	go1
C001075	nucleus	go4
C001078	endoplasmic_reticulum	go2
C001079	endoplasmic_reticulum	go2
C001080	nucleus	go2
C001081	endoplasmic_reticulum	go4
C001082	endoplasmic_reticulum	go2
C001083	mitochondria	go3
C001084	nucleus	go3
C001085	endoplasmic_reticulum	go1
C001087	nucleus	go1
C001088	lysosome	go1
C001089	mitochondria	go2
C001091	lysosome	go2
C001092	endoplasmic_reticulum	go3
C001093	endoplasmic_reticulum	go4
C001094	lysosome	go2
C001095	mitochondria	go2
C001097	mitochondria	go1
C001098	nucleus	go1
C001099	lysosome	go3
C001101	nucleus	go4
C001102	lysosome	go2
C001104	mitochondria	go4
C001106	endoplasmic_reticulum	go3
C001109	mitochondria	go1
C001110	mitochondria	go1
C001111	endoplasmic_reticulum	go3
C001112	mitochondria	go3
C001113	nucleus	go4
C001114	lysosome	go4
C001115	endoplasmic_reticulum	go4
C001116	nucleus	go1
C001117	mitochondria	go3
C001118	endoplasmic_reticulum	go2
C001119	lysosome	go3
C001120	nucleus	go3
C001122	lysosome	go4
C001123	endoplasmic_reticulum	go4
C001124	nucleus	go4
C001125	nucleus	go4
C001126	mitochondria	go4
C001127	nucleus	go4
C001128	endoplasmic_reticulum	go4
C001129	endoplasmic_reticulum	go4
C001130	lysosome	go3
C001131	nucleus	go1
C001132	lysosome	go4
C001133	endoplasmic_reticulum	go4
C001135	lysosome	go4
C001137	mitochondria	go3
C001138	endoplasmic_reticulum	go4
C001139	lysosome	go4
C001140	nucleus	go2
C001141	nucleus	go2
C001142	lysosome	go4
C001143	lysosome	go1
C001144	mitochondria	go4
C001145	endoplasmic_reticulum	go2
C001146	mitochondria	go3
C001147	nucleus	go4
C001148	nucleus	go1
C001149	mitochondria	go3
C001150	nucleus	go1
C001151	mitochondria	go3
C001152	endoplasmic_reticulum	go3
C001153	mitochondria	go2
C001154	endoplasmic_reticulum	go1
C001155	endoplasmic_reticulum	go2
C001156	nucleus	go2
C001157	nucleus	go3
C001158	nucleus	go1
C001160	mitochondria	go4
C001161	endoplasmic_reticulum	go1
C001162	nucleus	go1
C001163	nucleus	go1
C001164	endoplasmic_reticulum	go3
C001165	mitochondria	go1
C001167	lysosome	go4
C001168	mitochondria	go3
C001169	endoplasmic_reticulum	go2
C001170	nucleus	go4
C001171	endoplasmic_reticulum	go2
C001173	lysosome	go4
C001174	endoplasmic_reticulum	go1
C001175	mitochondria	go4
C001176	lysosome	go4
C001177	lysosome	go4
C001178	nucleus	go3
C001179	nucleus	go3
C001180	lysosome	go2
C001181	mitochondria	go2
C001185	nucleus	go2
C001186	mitochondria	go1
C001187	endoplasmic_reticulum	go2
C001188	mitochondria	go1
C001189	mitochondria	go3
C001193	mitochondria	go3
C001194	nucleus	go3
C001195	endoplasmic_reticulum	go3
C001196	lysosome	go2
C001200	mitochondria	go1
C001201	mitochondria	go1
C001202	nucleus	go3
C001203	mitochondria	go2
C001205	mitochondria	go3
C001207	lysosome	go3
C001208	lysosome	go2
C001209	nucleus	go3
C001210	lysosome	go4
C001211	endoplasmic_reticulum	go2
C001212	endoplasmic_reticulum	go2
C001213	nucleus	go1
C001214	lysosome	go3
C001215	nucleus	go2
C001216	nucleus	go3
C001217	endoplasmic_reticulum	go2
C001218	nucleus	go4
C001219	endoplasmic_reticulum	go3
C001220	endoplasmic_reticulum	go4
C001221	lysosome	go1
C001222	mitochondria	go1
C001223	nucleus	go2
C001224	nucleus	go2
C001225	endoplasmic_reticulum	go4
C001227	nucleus	go2
C001228	nucleus	go4
C001231	nucleus	go3
C001233	mitochondria	go1
C001235	lysosome	go2
C001236	lysosome	go1
C001238	mitochondria	go4
C001239	lysosome	go1
C001240	mitochondria	go4
C001241	lysosome	go4
C001242	lysosome	go1
C001243	endoplasmic_reticulum	go3
C001244	nucleus	go3
C001245	nucleus	go4
C001246	mitochondria	go3
C001247	mitochondria	go2
C001250	mitochondria	go1
C001251	mitochondria	go4
C001252	endoplasmic_reticulum	go4
C001253	nucleus	go4
C001257	lysosome	go2
C001260	endoplasmic_reticulum	go1
C001262	endoplasmic_reticulum	go3
C001263	nucleus	go3
C001264	nucleus	go2
C001265	endoplasmic_reticulum	go4
C001266	endoplasmic_reticulum	go3
C001267	endoplasmic_reticulum	go2
C001269	lysosome	go4
C001270	lysosome	go2
C001271	endoplasmic_reticulum	go2
C001272	mitochondria	go1
C001273	mitochondria	go2
C001275	endoplasmic_reticulum	go1
C001277	lysosome	go1
C001278	mitochondria	go3
C001279	lysosome	go3
C001280	mitochondria	go2
C001281	lysosome	go3
C001282	lysosome	go4
C001284	lysosome	go1
C001285	endoplasmic_reticulum	go4
C001286	nucleus	go4
C001287	mitochondria	go3
C001289	lysosome	go2
C001290	lysosome	go4
C001291	mitochondria	go3
C001292	endoplasmic_reticulum	go2
C001294	nucleus	go2
C001295	lysosome	go1
C001297	nucleus	go3
C001298	lysosome	go4
C001299	lysosome	go1
C001300	endoplasmic_reticulum	go2
C001301	nucleus	go2
C001302	nucleus	go4
C001303	mitochondria	go3
C001306	nucleus	go4
C001307	lysosome	go1
C001309	lysosome	go2
C001310	lysosome	go2
C001311	nucleus	go3
C001312	lysosome	go1
C001313	endoplasmic_reticulum	go2
C001314	nucleus	go4
C001315	endoplasmic_reticulum	go1
C001316	mitochondria	go1
C001317	lysosome	go3
C001319	mitochondria	go4
C001320	lysosome	go3
C001321	endoplasmic_reticulum	go3
C001322	endoplasmic_reticulum	go2
